pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
173,cleffa,fairy,,"[['pound', 'normal'], ['mega-punch', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['double-edge', 'normal'], ['sing', 'normal'], ['flamethrower', 'fire'], ['psybeam', 'psychic'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['solar-beam', 'grass'], ['thunder-wave', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['psychic', 'psychic'], ['mimic', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['metronome', 'normal'], ['fire-blast', 'fire'], ['swift', 'normal'], ['amnesia', 'psychic'], ['soft-boiled', 'normal'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['splash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sweet-kiss', 'fairy'], ['belly-drum', 'normal'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['icy-wind', 'ice'], ['detect', 'fighting'], ['endure', 'normal'], ['charm', 'fairy'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['present', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['encore', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['uproar', 'normal'], ['facade', 'normal'], ['helping-hand', 'normal'], ['trick', 'psychic'], ['role-play', 'psychic'], ['wish', 'normal'], ['magic-coat', 'psychic'], ['recycle', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['aromatherapy', 'grass'], ['fake-tears', 'dark'], ['tickle', 'normal'], ['signal-beam', 'bug'], ['covet', 'normal'], ['magical-leaf', 'grass'], ['calm-mind', 'psychic'], ['shock-wave', 'electric'], ['water-pulse', 'water'], ['gravity', 'psychic'], ['natural-gift', 'normal'], ['fling', 'dark'], ['copycat', 'normal'], ['last-resort', 'normal'], ['zen-headbutt', 'psychic'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['wonder-room', 'psychic'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['after-you', 'normal'], ['round', 'normal'], ['echoed-voice', 'normal'], ['stored-power', 'psychic'], ['heal-pulse', 'psychic'], ['incinerate', 'fire'], ['work-up', 'normal'], ['disarming-voice', 'fairy'], ['draining-kiss', 'fairy'], ['misty-terrain', 'fairy'], ['play-rough', 'fairy'], ['fairy-wind', 'fairy'], ['moonblast', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['baby-doll-eyes', 'fairy'], ['tera-blast', 'normal'], ['chilling-water', 'water'], ['alluring-voice', 'fairy']]",50,25,28,45,55,15
174,igglybuff,normal,fairy,"[['pound', 'normal'], ['mega-punch', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['sing', 'normal'], ['disable', 'normal'], ['flamethrower', 'fire'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['solar-beam', 'grass'], ['thunder-wave', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['psychic', 'psychic'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['fire-blast', 'fire'], ['swift', 'normal'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['feint-attack', 'dark'], ['sweet-kiss', 'fairy'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['perish-song', 'normal'], ['icy-wind', 'ice'], ['detect', 'fighting'], ['endure', 'normal'], ['charm', 'fairy'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['present', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['pain-split', 'normal'], ['encore', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['uproar', 'normal'], ['facade', 'normal'], ['helping-hand', 'normal'], ['role-play', 'psychic'], ['wish', 'normal'], ['magic-coat', 'psychic'], ['recycle', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['fake-tears', 'dark'], ['bounce', 'flying'], ['covet', 'normal'], ['shock-wave', 'electric'], ['water-pulse', 'water'], ['gravity', 'psychic'], ['natural-gift', 'normal'], ['fling', 'dark'], ['copycat', 'normal'], ['punishment', 'dark'], ['last-resort', 'normal'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['round', 'normal'], ['echoed-voice', 'normal'], ['heal-pulse', 'psychic'], ['incinerate', 'fire'], ['work-up', 'normal'], ['wild-charge', 'electric'], ['disarming-voice', 'fairy'], ['draining-kiss', 'fairy'], ['misty-terrain', 'fairy'], ['play-rough', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['alluring-voice', 'fairy']]",90,30,15,40,20,15
175,togepi,fairy,,"[['pound', 'normal'], ['mega-punch', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['flamethrower', 'fire'], ['peck', 'flying'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['solar-beam', 'grass'], ['thunder-wave', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['mimic', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['metronome', 'normal'], ['mirror-move', 'flying'], ['fire-blast', 'fire'], ['swift', 'normal'], ['soft-boiled', 'normal'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['tri-attack', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sweet-kiss', 'fairy'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['foresight', 'normal'], ['detect', 'fighting'], ['endure', 'normal'], ['charm', 'fairy'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['present', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['baton-pass', 'normal'], ['encore', 'normal'], ['morning-sun', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['ancient-power', 'rock'], ['shadow-ball', 'ghost'], ['future-sight', 'psychic'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['facade', 'normal'], ['follow-me', 'normal'], ['helping-hand', 'normal'], ['trick', 'psychic'], ['wish', 'normal'], ['magic-coat', 'psychic'], ['yawn', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['signal-beam', 'bug'], ['extrasensory', 'psychic'], ['aerial-ace', 'flying'], ['covet', 'normal'], ['calm-mind', 'psychic'], ['shock-wave', 'electric'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['psycho-shift', 'psychic'], ['lucky-chant', 'normal'], ['last-resort', 'normal'], ['nasty-plot', 'dark'], ['zen-headbutt', 'psychic'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['after-you', 'normal'], ['round', 'normal'], ['echoed-voice', 'normal'], ['stored-power', 'psychic'], ['incinerate', 'fire'], ['bestow', 'normal'], ['work-up', 'normal'], ['draining-kiss', 'fairy'], ['play-rough', 'fairy'], ['fairy-wind', 'fairy'], ['moonblast', 'fairy'], ['confide', 'normal'], ['mystical-fire', 'fire'], ['dazzling-gleam', 'fairy'], ['baby-doll-eyes', 'fairy'], ['life-dew', 'water']]",35,20,65,40,65,20
176,togetic,fairy,flying,"[['pound', 'normal'], ['mega-punch', 'normal'], ['fly', 'flying'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['flamethrower', 'fire'], ['hyper-beam', 'normal'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['solar-beam', 'grass'], ['thunder-wave', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['mimic', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['metronome', 'normal'], ['fire-blast', 'fire'], ['swift', 'normal'], ['soft-boiled', 'normal'], ['dream-eater', 'psychic'], ['sky-attack', 'flying'], ['flash', 'normal'], ['rest', 'psychic'], ['tri-attack', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['sweet-kiss', 'fairy'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['detect', 'fighting'], ['endure', 'normal'], ['charm', 'fairy'], ['rollout', 'rock'], ['swagger', 'normal'], ['steel-wing', 'steel'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['baton-pass', 'normal'], ['encore', 'normal'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['ancient-power', 'rock'], ['shadow-ball', 'ghost'], ['future-sight', 'psychic'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['heat-wave', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['follow-me', 'normal'], ['helping-hand', 'normal'], ['trick', 'psychic'], ['wish', 'normal'], ['magic-coat', 'psychic'], ['brick-break', 'fighting'], ['yawn', 'normal'], ['endeavor', 'normal'], ['imprison', 'psychic'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['air-cutter', 'flying'], ['silver-wind', 'bug'], ['signal-beam', 'bug'], ['extrasensory', 'psychic'], ['aerial-ace', 'flying'], ['covet', 'normal'], ['magical-leaf', 'grass'], ['calm-mind', 'psychic'], ['shock-wave', 'electric'], ['water-pulse', 'water'], ['roost', 'flying'], ['natural-gift', 'normal'], ['tailwind', 'flying'], ['fling', 'dark'], ['last-resort', 'normal'], ['air-slash', 'flying'], ['drain-punch', 'fighting'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['zen-headbutt', 'psychic'], ['defog', 'flying'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['ominous-wind', 'ghost'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['after-you', 'normal'], ['round', 'normal'], ['echoed-voice', 'normal'], ['stored-power', 'psychic'], ['incinerate', 'fire'], ['retaliate', 'normal'], ['bestow', 'normal'], ['work-up', 'normal'], ['draining-kiss', 'fairy'], ['play-rough', 'fairy'], ['fairy-wind', 'fairy'], ['moonblast', 'fairy'], ['confide', 'normal'], ['mystical-fire', 'fire'], ['dazzling-gleam', 'fairy'], ['baby-doll-eyes', 'fairy'], ['smart-strike', 'steel'], ['life-dew', 'water'], ['dual-wingbeat', 'flying']]",55,40,85,80,105,40
177,natu,psychic,flying,"[['double-edge', 'normal'], ['leer', 'normal'], ['peck', 'flying'], ['drill-peck', 'flying'], ['solar-beam', 'grass'], ['thunder-wave', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['quick-attack', 'normal'], ['teleport', 'psychic'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['light-screen', 'psychic'], ['haze', 'ice'], ['reflect', 'psychic'], ['swift', 'normal'], ['dream-eater', 'psychic'], ['sky-attack', 'flying'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['feint-attack', 'dark'], ['detect', 'fighting'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['steel-wing', 'steel'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['baton-pass', 'normal'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['future-sight', 'psychic'], ['heat-wave', 'fire'], ['facade', 'normal'], ['trick', 'psychic'], ['wish', 'normal'], ['magic-coat', 'psychic'], ['skill-swap', 'psychic'], ['imprison', 'psychic'], ['refresh', 'normal'], ['secret-power', 'normal'], ['feather-dance', 'flying'], ['air-cutter', 'flying'], ['silver-wind', 'bug'], ['cosmic-power', 'psychic'], ['signal-beam', 'bug'], ['aerial-ace', 'flying'], ['calm-mind', 'psychic'], ['roost', 'flying'], ['miracle-eye', 'psychic'], ['natural-gift', 'normal'], ['pluck', 'flying'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['psycho-shift', 'psychic'], ['lucky-chant', 'normal'], ['me-first', 'normal'], ['power-swap', 'psychic'], ['guard-swap', 'psychic'], ['sucker-punch', 'dark'], ['air-slash', 'flying'], ['zen-headbutt', 'psychic'], ['trick-room', 'psychic'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['ominous-wind', 'ghost'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['magic-room', 'psychic'], ['synchronoise', 'psychic'], ['simple-beam', 'normal'], ['round', 'normal'], ['stored-power', 'psychic'], ['ally-switch', 'psychic'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['expanding-force', 'psychic'], ['dual-wingbeat', 'flying']]",40,50,45,70,45,70
178,xatu,psychic,flying,"[['fly', 'flying'], ['double-edge', 'normal'], ['leer', 'normal'], ['hyper-beam', 'normal'], ['peck', 'flying'], ['solar-beam', 'grass'], ['thunder-wave', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['teleport', 'psychic'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['swift', 'normal'], ['dream-eater', 'psychic'], ['sky-attack', 'flying'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['detect', 'fighting'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['steel-wing', 'steel'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['baton-pass', 'normal'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['future-sight', 'psychic'], ['heat-wave', 'fire'], ['facade', 'normal'], ['trick', 'psychic'], ['wish', 'normal'], ['magic-coat', 'psychic'], ['skill-swap', 'psychic'], ['imprison', 'psychic'], ['secret-power', 'normal'], ['air-cutter', 'flying'], ['silver-wind', 'bug'], ['cosmic-power', 'psychic'], ['signal-beam', 'bug'], ['aerial-ace', 'flying'], ['calm-mind', 'psychic'], ['roost', 'flying'], ['miracle-eye', 'psychic'], ['natural-gift', 'normal'], ['pluck', 'flying'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['psycho-shift', 'psychic'], ['lucky-chant', 'normal'], ['me-first', 'normal'], ['power-swap', 'psychic'], ['guard-swap', 'psychic'], ['sucker-punch', 'dark'], ['air-slash', 'flying'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['defog', 'flying'], ['trick-room', 'psychic'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['ominous-wind', 'ghost'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['magic-room', 'psychic'], ['foul-play', 'dark'], ['round', 'normal'], ['stored-power', 'psychic'], ['ally-switch', 'psychic'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['laser-focus', 'normal'], ['expanding-force', 'psychic'], ['dual-wingbeat', 'flying']]",65,75,70,95,70,95
179,mareep,electric,,"[['sand-attack', 'ground'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['thunder-shock', 'electric'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['swift', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['cotton-spore', 'grass'], ['protect', 'normal'], ['zap-cannon', 'electric'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['flatter', 'dark'], ['facade', 'normal'], ['charge', 'electric'], ['helping-hand', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['odor-sleuth', 'normal'], ['signal-beam', 'bug'], ['shock-wave', 'electric'], ['natural-gift', 'normal'], ['magnet-rise', 'electric'], ['power-gem', 'rock'], ['discharge', 'electric'], ['captivate', 'normal'], ['charge-beam', 'electric'], ['electro-ball', 'electric'], ['after-you', 'normal'], ['round', 'normal'], ['echoed-voice', 'normal'], ['volt-switch', 'electric'], ['electroweb', 'electric'], ['wild-charge', 'electric'], ['cotton-guard', 'grass'], ['confide', 'normal'], ['eerie-impulse', 'electric'], ['electric-terrain', 'electric'], ['dazzling-gleam', 'fairy'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",55,40,40,65,45,35
180,flaaffy,electric,,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['roar', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['thunder-shock', 'electric'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['mimic', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['swift', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['cotton-spore', 'grass'], ['protect', 'normal'], ['zap-cannon', 'electric'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['charge', 'electric'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['signal-beam', 'bug'], ['shock-wave', 'electric'], ['natural-gift', 'normal'], ['fling', 'dark'], ['magnet-rise', 'electric'], ['power-gem', 'rock'], ['discharge', 'electric'], ['captivate', 'normal'], ['charge-beam', 'electric'], ['electro-ball', 'electric'], ['after-you', 'normal'], ['round', 'normal'], ['echoed-voice', 'normal'], ['volt-switch', 'electric'], ['electroweb', 'electric'], ['wild-charge', 'electric'], ['cotton-guard', 'grass'], ['confide', 'normal'], ['eerie-impulse', 'electric'], ['electric-terrain', 'electric'], ['dazzling-gleam', 'fairy'], ['power-up-punch', 'fighting'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",70,55,55,80,60,45
181,ampharos,electric,,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['roar', 'normal'], ['hyper-beam', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['thunder-shock', 'electric'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['mimic', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['defense-curl', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['swift', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['cotton-spore', 'grass'], ['protect', 'normal'], ['zap-cannon', 'electric'], ['outrage', 'dragon'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['charge', 'electric'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['signal-beam', 'bug'], ['shock-wave', 'electric'], ['natural-gift', 'normal'], ['fling', 'dark'], ['magnet-rise', 'electric'], ['dragon-pulse', 'dragon'], ['power-gem', 'rock'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['rock-climb', 'normal'], ['discharge', 'electric'], ['captivate', 'normal'], ['charge-beam', 'electric'], ['electro-ball', 'electric'], ['after-you', 'normal'], ['round', 'normal'], ['echoed-voice', 'normal'], ['volt-switch', 'electric'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['electroweb', 'electric'], ['wild-charge', 'electric'], ['cotton-guard', 'grass'], ['ion-deluge', 'electric'], ['confide', 'normal'], ['eerie-impulse', 'electric'], ['magnetic-flux', 'electric'], ['electric-terrain', 'electric'], ['dazzling-gleam', 'fairy'], ['power-up-punch', 'fighting'], ['laser-focus', 'normal'], ['brutal-swing', 'dark'], ['stomping-tantrum', 'ground'], ['breaking-swipe', 'dragon'], ['meteor-beam', 'rock'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['dragon-cheer', 'dragon'], ['supercell-slam', 'electric']]",90,75,85,115,90,55
182,bellossom,grass,,"[['swords-dance', 'normal'], ['cut', 'normal'], ['double-edge', 'normal'], ['acid', 'poison'], ['hyper-beam', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['petal-dance', 'grass'], ['toxic', 'poison'], ['mimic', 'normal'], ['double-team', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['baton-pass', 'normal'], ['encore', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['moonlight', 'fairy'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['uproar', 'normal'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['teeter-dance', 'normal'], ['weather-ball', 'normal'], ['tickle', 'normal'], ['bullet-seed', 'grass'], ['magical-leaf', 'grass'], ['leaf-blade', 'grass'], ['natural-gift', 'normal'], ['fling', 'dark'], ['gastro-acid', 'poison'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['drain-punch', 'fighting'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['venoshock', 'poison'], ['quiver-dance', 'bug'], ['acid-spray', 'poison'], ['after-you', 'normal'], ['round', 'normal'], ['petal-blizzard', 'grass'], ['grassy-terrain', 'grass'], ['play-rough', 'fairy'], ['moonblast', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['infestation', 'bug'], ['strength-sap', 'grass'], ['solar-blade', 'grass'], ['laser-focus', 'normal'], ['pollen-puff', 'bug'], ['grassy-glide', 'grass'], ['triple-axel', 'ice'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",75,80,95,90,100,50
